Protein IDs	Majority protein IDs	Gene names	Protein names	Fasta headers	Only identified by site	Reverse	Potential contaminant	LFQ intensity Strap_1	LFQ intensity Strap_2	LFQ intensity Strap_3
Q71UI9;P0C0S5;Q71UI9-3;Q71UI9-4;Q71UI9-2	Q71UI9;P0C0S5;Q71UI9-3;Q71UI9-4;Q71UI9-2	H2AFV;H2AFZ	Histone H2A.V;Histone H2A.Z	sp|Q71UI9|H2AV_HUMAN Histone H2A.V OS=Homo sapiens OX=9606 GN=H2AFV PE=1 SV=3;sp|P0C0S5|H2AZ_HUMAN Histone H2A.Z OS=Homo sapiens OX=9606 GN=H2AFZ PE=1 SV=2;sp|Q71UI9-3|H2AV_HUMAN Isoform 3 of Histone H2A.V OS=Homo sapiens OX=9606 GN=H2AFV;sp|Q71UI9-4|H2AV_				179580000.0	149310000.0	133150000.0
Q99878;Q96KK5;P20671;P0C0S8;Q9BTM1;Q9BTM1-2	Q99878;Q96KK5;P20671;P0C0S8;Q9BTM1;Q9BTM1-2	HIST1H2AJ;HIST1H2AH;HIST1H2AD;HIST1H2AG;H2AFJ	Histone H2A type 1-J;Histone H2A type 1-H;Histone H2A type 1-D;Histone H2A type 1;Histone H2A.J	sp|Q99878|H2A1J_HUMAN Histone H2A type 1-J OS=Homo sapiens OX=9606 GN=HIST1H2AJ PE=1 SV=3;sp|Q96KK5|H2A1H_HUMAN Histone H2A type 1-H OS=Homo sapiens OX=9606 GN=HIST1H2AH PE=1 SV=3;sp|P20671|H2A1D_HUMAN Histone H2A type 1-D OS=Homo sapiens OX=9606 GN=HIST1H				10981000000.0	10300000000.0	13858000000.0
P0CG29;P0CG30;P30711	P0CG29;P0CG30;P30711	GSTT2;GSTT2B;GSTT1	Glutathione S-transferase theta-2;Glutathione S-transferase theta-2B;Glutathione S-transferase theta-1	sp|P0CG29|GST2_HUMAN Glutathione S-transferase theta-2 OS=Homo sapiens OX=9606 GN=GSTT2 PE=1 SV=1;sp|P0CG30|GSTT2_HUMAN Glutathione S-transferase theta-2B OS=Homo sapiens OX=9606 GN=GSTT2B PE=1 SV=1;sp|P30711|GSTT1_HUMAN Glutathione S-transferase theta-1 O						
P0CW18	P0CW18	PRSS56	Serine protease 56	sp|P0CW18|PRS56_HUMAN Serine protease 56 OS=Homo sapiens OX=9606 GN=PRSS56 PE=1 SV=1				174130000.0	177690000.0	158140000.0
P0DMM9-2;P50225;P0DMN0;P0DMM9;P0DMM9-3	P0DMM9-2;P50225;P0DMN0;P0DMM9;P0DMM9-3	SULT1A3;SULT1A1;SULT1A4	Sulfotransferase 1A3;Sulfotransferase 1A1;Sulfotransferase 1A4	sp|P0DMM9-2|ST1A3_HUMAN Isoform 2 of Sulfotransferase 1A3 OS=Homo sapiens OX=9606 GN=SULT1A3;sp|P50225|ST1A1_HUMAN Sulfotransferase 1A1 OS=Homo sapiens OX=9606 GN=SULT1A1 PE=1 SV=3;sp|P0DMN0|ST1A4_HUMAN Sulfotransferase 1A4 OS=Homo sapiens OX=9606 GN=SULT1					7877500.0	
P0DMV8;P0DMV9;P0DMV8-2	P0DMV8;P0DMV9;P0DMV8-2	HSPA1A;HSPA1B	Heat shock 70 kDa protein 1A;Heat shock 70 kDa protein 1B	sp|P0DMV8|HS71A_HUMAN Heat shock 70 kDa protein 1A OS=Homo sapiens OX=9606 GN=HSPA1A PE=1 SV=1;sp|P0DMV9|HS71B_HUMAN Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1;sp|P0DMV8-2|HS71A_HUMAN Isoform 2 of Heat shock 70 kDa protein 1A 				1463300000.0	1517200000.0	1413900000.0
P0DN76;Q01081;Q01081-2;Q01081-4;Q8WU68-3;Q8WU68;Q01081-3;Q8WU68-2	P0DN76;Q01081;Q01081-2;Q01081-4	U2AF1	Splicing factor U2AF 35 kDa subunit	sp|P0DN76|U2AF5_HUMAN Splicing factor U2AF 35 kDa subunit-like protein OS=Homo sapiens OX=9606 GN=U2AF1L5 PE=1 SV=1;sp|Q01081|U2AF1_HUMAN Splicing factor U2AF 35 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF1 PE=1 SV=3;sp|Q01081-2|U2AF1_HUMAN Isoform 2 of Sp				81907000.0	67996000.0	
P0DN79;P35520;P35520-2	P0DN79;P35520;P35520-2	CBS	Cystathionine beta-synthase	sp|P0DN79|CBSL_HUMAN Cystathionine beta-synthase-like protein OS=Homo sapiens OX=9606 GN=CBSL PE=1 SV=1;sp|P35520|CBS_HUMAN Cystathionine beta-synthase OS=Homo sapiens OX=9606 GN=CBS PE=1 SV=2;sp|P35520-2|CBS_HUMAN Isoform 2 of Cystathionine beta-synthase 				84818000.0	76006000.0	63900000.0
P0DP25;P0DP24;P0DP23;P27482;P02585	P0DP25;P0DP24;P0DP23			sp|P0DP25|CALM3_HUMAN Calmodulin-3 OS=Homo sapiens OX=9606 GN=CALM3 PE=1 SV=1;sp|P0DP24|CALM2_HUMAN Calmodulin-2 OS=Homo sapiens OX=9606 GN=CALM2 PE=1 SV=1;sp|P0DP23|CALM1_HUMAN Calmodulin-1 OS=Homo sapiens OX=9606 GN=CALM1 PE=1 SV=1				108580000.0	96874000.0	103630000.0
P0DPB6;P0DPB5	P0DPB6;P0DPB5			sp|P0DPB6|RPAC2_HUMAN DNA-directed RNA polymerases I and III subunit RPAC2 OS=Homo sapiens OX=9606 GN=POLR1D PE=1 SV=1;sp|P0DPB5|RPC22_HUMAN Protein POLR1D, isoform 2 OS=Homo sapiens OX=9606 GN=POLR1D PE=1 SV=1						7132700.0
P10155-3;P10155-5;P10155-4;P10155;P10155-2	P10155-3;P10155-5;P10155-4;P10155	TROVE2	60 kDa SS-A/Ro ribonucleoprotein	sp|P10155-3|RO60_HUMAN Isoform 3 of 60 kDa SS-A/Ro ribonucleoprotein OS=Homo sapiens OX=9606 GN=RO60;sp|P10155-5|RO60_HUMAN Isoform 5 of 60 kDa SS-A/Ro ribonucleoprotein OS=Homo sapiens OX=9606 GN=RO60;sp|P10155-4|RO60_HUMAN Isoform 4 of 60 kDa SS-A/Ro rib						
P10176	P10176	COX8A	Cytochrome c oxidase subunit 8A, mitochondrial	sp|P10176|COX8A_HUMAN Cytochrome c oxidase subunit 8A, mitochondrial OS=Homo sapiens OX=9606 GN=COX8A PE=1 SV=2						
P10253	P10253	GAA	Lysosomal alpha-glucosidase;76 kDa lysosomal alpha-glucosidase;70 kDa lysosomal alpha-glucosidase	sp|P10253|LYAG_HUMAN Lysosomal alpha-glucosidase OS=Homo sapiens OX=9606 GN=GAA PE=1 SV=4				31111000.0		
P10321;P10321-2;P30511-2;P30511;P30511-3	P10321;P10321-2	HLA-C	HLA class I histocompatibility antigen, Cw-7 alpha chain	sp|P10321|HLAC_HUMAN HLA class I histocompatibility antigen, C alpha chain OS=Homo sapiens OX=9606 GN=HLA-C PE=1 SV=3;sp|P10321-2|HLAC_HUMAN Isoform 2 of HLA class I histocompatibility antigen, C alpha chain OS=Homo sapiens OX=9606 GN=HLA-C					215740000.0	232210000.0
P10412;P16402;Q02539;P22492	P10412;P16402	HIST1H1E;HIST1H1D	Histone H1.4;Histone H1.3	sp|P10412|H14_HUMAN Histone H1.4 OS=Homo sapiens OX=9606 GN=HIST1H1E PE=1 SV=2;sp|P16402|H13_HUMAN Histone H1.3 OS=Homo sapiens OX=9606 GN=HIST1H1D PE=1 SV=2				4035400000.0	3485100000.0	2979500000.0
P10515	P10515	DLAT	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	sp|P10515|ODP2_HUMAN Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLAT PE=1 SV=3					65944000.0	65135000.0
P10586-2;P10586	P10586-2;P10586	PTPRF	Receptor-type tyrosine-protein phosphatase F	sp|P10586-2|PTPRF_HUMAN Isoform 2 of Receptor-type tyrosine-protein phosphatase F OS=Homo sapiens OX=9606 GN=PTPRF;sp|P10586|PTPRF_HUMAN Receptor-type tyrosine-protein phosphatase F OS=Homo sapiens OX=9606 GN=PTPRF PE=1 SV=2						
P10599;P10599-2	P10599;P10599-2	TXN	Thioredoxin	sp|P10599|THIO_HUMAN Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3;sp|P10599-2|THIO_HUMAN Isoform 2 of Thioredoxin OS=Homo sapiens OX=9606 GN=TXN				993810000.0	1103400000.0	1080500000.0
P10606	P10606	COX5B	Cytochrome c oxidase subunit 5B, mitochondrial	sp|P10606|COX5B_HUMAN Cytochrome c oxidase subunit 5B, mitochondrial OS=Homo sapiens OX=9606 GN=COX5B PE=1 SV=2						
P10619-2;P10619	P10619-2;P10619	CTSA	Lysosomal protective protein;Lysosomal protective protein 32 kDa chain;Lysosomal protective protein 20 kDa chain	sp|P10619-2|PPGB_HUMAN Isoform 2 of Lysosomal protective protein OS=Homo sapiens OX=9606 GN=CTSA;sp|P10619|PPGB_HUMAN Lysosomal protective protein OS=Homo sapiens OX=9606 GN=CTSA PE=1 SV=2						23861000.0
P10620;P10620-2	P10620;P10620-2	MGST1	Microsomal glutathione S-transferase 1	sp|P10620|MGST1_HUMAN Microsomal glutathione S-transferase 1 OS=Homo sapiens OX=9606 GN=MGST1 PE=1 SV=1;sp|P10620-2|MGST1_HUMAN Isoform 2 of Microsomal glutathione S-transferase 1 OS=Homo sapiens OX=9606 GN=MGST1						80482000.0
P10644;P10644-2	P10644;P10644-2	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit;cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed	sp|P10644|KAP0_HUMAN cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR1A PE=1 SV=1;sp|P10644-2|KAP0_HUMAN Isoform 2 of cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRK				44686000.0	48100000.0	56864000.0
P10768	P10768	ESD	S-formylglutathione hydrolase	sp|P10768|ESTD_HUMAN S-formylglutathione hydrolase OS=Homo sapiens OX=9606 GN=ESD PE=1 SV=2				52269000.0	36408000.0	
P10809;P10809-2	P10809	HSPD1	60 kDa heat shock protein, mitochondrial	sp|P10809|CH60_HUMAN 60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2				5719800000.0	5822700000.0	6011300000.0
P10909-3;P10909-4;P10909-6;P10909;P10909-5;P10909-2	P10909-3;P10909-4;P10909-6;P10909;P10909-5;P10909-2	CLU	Clusterin;Clusterin beta chain;Clusterin alpha chain	sp|P10909-3|CLUS_HUMAN Isoform 3 of Clusterin OS=Homo sapiens OX=9606 GN=CLU;sp|P10909-4|CLUS_HUMAN Isoform 4 of Clusterin OS=Homo sapiens OX=9606 GN=CLU;sp|P10909-6|CLUS_HUMAN Isoform 6 of Clusterin OS=Homo sapiens OX=9606 GN=CLU;sp|P10909|CLUS_HUMAN Clus				8724100.0		
P11021	P11021	HSPA5	78 kDa glucose-regulated protein	sp|P11021|BIP_HUMAN Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2				6378100000.0	6189900000.0	5633300000.0
P11047	P11047	LAMC1	Laminin subunit gamma-1	sp|P11047|LAMC1_HUMAN Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3				8852600.0		
P11142;P11142-2;P54652	P11142;P11142-2	HSPA8	Heat shock cognate 71 kDa protein	sp|P11142|HSP7C_HUMAN Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1;sp|P11142-2|HSP7C_HUMAN Isoform 2 of Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8				9116200000.0	8706500000.0	7958700000.0
P11166	P11166	SLC2A1	Solute carrier family 2, facilitated glucose transporter member 1	sp|P11166|GTR1_HUMAN Solute carrier family 2, facilitated glucose transporter member 1 OS=Homo sapiens OX=9606 GN=SLC2A1 PE=1 SV=2				163910000.0	159400000.0	150350000.0
P11169;Q8TDB8-4;Q8TDB8-2;Q8TDB8;Q8TDB8-5;Q8TDB8-3	P11169;Q8TDB8-4;Q8TDB8-2;Q8TDB8;Q8TDB8-5	SLC2A3;SLC2A14	Solute carrier family 2, facilitated glucose transporter member 3;Solute carrier family 2, facilitated glucose transporter member 14	sp|P11169|GTR3_HUMAN Solute carrier family 2, facilitated glucose transporter member 3 OS=Homo sapiens OX=9606 GN=SLC2A3 PE=1 SV=1;sp|Q8TDB8-4|GTR14_HUMAN Isoform 4 of Solute carrier family 2, facilitated glucose transporter member 14 OS=Homo sapiens OX=96				75215000.0	106640000.0	165270000.0
P11171-6;P11171-4;P11171-3;P11171-5;P11171-2;P11171	P11171-6;P11171-4;P11171-3;P11171-5;P11171-2;P11171	EPB41	Protein 4.1	sp|P11171-6|41_HUMAN Isoform 6 of Protein 4.1 OS=Homo sapiens OX=9606 GN=EPB41;sp|P11171-4|41_HUMAN Isoform 4 of Protein 4.1 OS=Homo sapiens OX=9606 GN=EPB41;sp|P11171-3|41_HUMAN Isoform 3 of Protein 4.1 OS=Homo sapiens OX=9606 GN=EPB41;sp|P11171-5|41_HUMA				7817800.0		
P11172;P11172-3;P11172-2;P11172-4	P11172;P11172-3;P11172-2	UMPS	Uridine 5-monophosphate synthase;Orotate phosphoribosyltransferase;Orotidine 5-phosphate decarboxylase	sp|P11172|UMPS_HUMAN Uridine 5-monophosphate synthase OS=Homo sapiens OX=9606 GN=UMPS PE=1 SV=1;sp|P11172-3|UMPS_HUMAN Isoform 3 of Uridine 5-monophosphate synthase OS=Homo sapiens OX=9606 GN=UMPS;sp|P11172-2|UMPS_HUMAN Isoform 2 of Uridine 5-monophosph				33860000.0		41731000.0
P11177;P11177-2;P11177-3	P11177;P11177-2;P11177-3	PDHB	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	sp|P11177|ODPB_HUMAN Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=3;sp|P11177-2|ODPB_HUMAN Isoform 2 of Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PD				110340000.0	157400000.0	151950000.0
P11182	P11182	DBT	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial	sp|P11182|ODB2_HUMAN Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DBT PE=1 SV=3						
P11233	P11233	RALA	Ras-related protein Ral-A	sp|P11233|RALA_HUMAN Ras-related protein Ral-A OS=Homo sapiens OX=9606 GN=RALA PE=1 SV=1				53439000.0		46444000.0
P11234;P11234-3;P11234-2	P11234;P11234-3;P11234-2	RALB	Ras-related protein Ral-B	sp|P11234|RALB_HUMAN Ras-related protein Ral-B OS=Homo sapiens OX=9606 GN=RALB PE=1 SV=1;sp|P11234-3|RALB_HUMAN Isoform 3 of Ras-related protein Ral-B OS=Homo sapiens OX=9606 GN=RALB;sp|P11234-2|RALB_HUMAN Isoform 2 of Ras-related protein Ral-B OS=Homo sap						4083600.0
P11279;P11279-2	P11279;P11279-2	LAMP1	Lysosome-associated membrane glycoprotein 1	sp|P11279|LAMP1_HUMAN Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens OX=9606 GN=LAMP1 PE=1 SV=3;sp|P11279-2|LAMP1_HUMAN Isoform 2 of Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens OX=9606 GN=LAMP1						
P11310;P11310-2	P11310;P11310-2	ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	sp|P11310|ACADM_HUMAN Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1;sp|P11310-2|ACADM_HUMAN Isoform 2 of Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM				327930000.0	340440000.0	466910000.0
P11387;Q969P6-2;Q969P6	P11387	TOP1	DNA topoisomerase 1	sp|P11387|TOP1_HUMAN DNA topoisomerase 1 OS=Homo sapiens OX=9606 GN=TOP1 PE=1 SV=2					87737000.0	81732000.0
P11388;P11388-2;P11388-3;P11388-4	P11388;P11388-2;P11388-3;P11388-4	TOP2A	DNA topoisomerase 2-alpha	sp|P11388|TOP2A_HUMAN DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3;sp|P11388-2|TOP2A_HUMAN Isoform 2 of DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A;sp|P11388-3|TOP2A_HUMAN Isoform 3 of DNA topoisomerase 2-alpha OS=Hom				68677000.0	52681000.0	
P11413;P11413-2;P11413-3	P11413;P11413-2;P11413-3	G6PD	Glucose-6-phosphate 1-dehydrogenase	sp|P11413|G6PD_HUMAN Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=4;sp|P11413-2|G6PD_HUMAN Isoform Long of Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD;sp|P11413-3|G6PD_HUMAN Isoform 3 of Glucose-6-phos				336800000.0	358940000.0	391290000.0
P11441	P11441	UBL4A	Ubiquitin-like protein 4A	sp|P11441|UBL4A_HUMAN Ubiquitin-like protein 4A OS=Homo sapiens OX=9606 GN=UBL4A PE=1 SV=1						
P11498;P11498-2	P11498;P11498-2	PC	Pyruvate carboxylase, mitochondrial	sp|P11498|PYC_HUMAN Pyruvate carboxylase, mitochondrial OS=Homo sapiens OX=9606 GN=PC PE=1 SV=2;sp|P11498-2|PYC_HUMAN Isoform 2 of Pyruvate carboxylase, mitochondrial OS=Homo sapiens OX=9606 GN=PC				147520000.0	131910000.0	126040000.0
P11532;P11532-2;P11532-8;P11532-7;P11532-5;P11532-6;P11532-17;P11532-11;P11532-4;P11532-12;P11532-15;P11532-14;P11532-3;P11532-16;P11532-9;P11532-13;P11532-18	P11532;P11532-2;P11532-8;P11532-7;P11532-5;P11532-6;P11532-17;P11532-11;P11532-4;P11532-12;P11532-15;P11532-14;P11532-3;P11532-16;P11532-9;P11532-13	DMD	Dystrophin	sp|P11532|DMD_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=3;sp|P11532-2|DMD_HUMAN Isoform 4 of Dystrophin OS=Homo sapiens OX=9606 GN=DMD;sp|P11532-8|DMD_HUMAN Isoform 13 of Dystrophin OS=Homo sapiens OX=9606 GN=DMD;sp|P11532-7|DMD_HUMAN Isoform						
P11586	P11586	MTHFD1	C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed	sp|P11586|C1TC_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=3				700260000.0	429080000.0	565920000.0
P11717	P11717	IGF2R	Cation-independent mannose-6-phosphate receptor	sp|P11717|MPRI_HUMAN Cation-independent mannose-6-phosphate receptor OS=Homo sapiens OX=9606 GN=IGF2R PE=1 SV=3						
P11766	P11766	ADH5	Alcohol dehydrogenase class-3	sp|P11766|ADHX_HUMAN Alcohol dehydrogenase class-3 OS=Homo sapiens OX=9606 GN=ADH5 PE=1 SV=4				77491000.0	96350000.0	104980000.0
P11908;P11908-2	P11908;P11908-2	PRPS2	Ribose-phosphate pyrophosphokinase 2	sp|P11908|PRPS2_HUMAN Ribose-phosphate pyrophosphokinase 2 OS=Homo sapiens OX=9606 GN=PRPS2 PE=1 SV=2;sp|P11908-2|PRPS2_HUMAN Isoform 2 of Ribose-phosphate pyrophosphokinase 2 OS=Homo sapiens OX=9606 GN=PRPS2						
P11940;P11940-2;Q9H361;Q4VXU2;Q4VXU2-2	P11940;P11940-2;Q9H361	PABPC1;PABPC3	Polyadenylate-binding protein 1;Polyadenylate-binding protein 3	sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2;sp|P11940-2|PABP1_HUMAN Isoform 2 of Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1;sp|Q9H361|PABP3_HUMAN Polyadenylate-binding protein 3 O				892430000.0	908560000.0	968590000.0
P12004	P12004	PCNA	Proliferating cell nuclear antigen	sp|P12004|PCNA_HUMAN Proliferating cell nuclear antigen OS=Homo sapiens OX=9606 GN=PCNA PE=1 SV=1				411510000.0	336070000.0	451370000.0
P12081-4;P12081;P12081-3;P12081-2	P12081-4;P12081;P12081-3;P12081-2	HARS	Histidine--tRNA ligase, cytoplasmic	sp|P12081-4|SYHC_HUMAN Isoform 4 of Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=HARS;sp|P12081|SYHC_HUMAN Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=HARS PE=1 SV=2;sp|P12081-3|SYHC_HUMAN Isoform 3 of Histidine--tRNA l				68905000.0	75830000.0	106730000.0
P12235	P12235	SLC25A4	ADP/ATP translocase 1	sp|P12235|ADT1_HUMAN ADP/ATP translocase 1 OS=Homo sapiens OX=9606 GN=SLC25A4 PE=1 SV=4					22619000.0	
P12236	P12236	SLC25A6	ADP/ATP translocase 3;ADP/ATP translocase 3, N-terminally processed	sp|P12236|ADT3_HUMAN ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4				278450000.0	302870000.0	319390000.0
P12268	P12268	IMPDH2	Inosine-5-monophosphate dehydrogenase 2	sp|P12268|IMDH2_HUMAN Inosine-5-monophosphate dehydrogenase 2 OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=2				449170000.0	475050000.0	408540000.0
P12270;P12270-2	P12270	TPR	Nucleoprotein TPR	sp|P12270|TPR_HUMAN Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3				300460000.0	270930000.0	266470000.0
P12277;P06732	P12277	CKB	Creatine kinase B-type	sp|P12277|KCRB_HUMAN Creatine kinase B-type OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1				493570000.0	497440000.0	626860000.0
P12429	P12429	ANXA3	Annexin A3	sp|P12429|ANXA3_HUMAN Annexin A3 OS=Homo sapiens OX=9606 GN=ANXA3 PE=1 SV=3						
P12532;P12532-2;P17540	P12532;P12532-2	CKMT1A	Creatine kinase U-type, mitochondrial	sp|P12532|KCRU_HUMAN Creatine kinase U-type, mitochondrial OS=Homo sapiens OX=9606 GN=CKMT1A PE=1 SV=1;sp|P12532-2|KCRU_HUMAN Isoform 2 of Creatine kinase U-type, mitochondrial OS=Homo sapiens OX=9606 GN=CKMT1A				204990000.0	320100000.0	329140000.0
P12694;P12694-2	P12694;P12694-2	BCKDHA	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	sp|P12694|ODBA_HUMAN 2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=BCKDHA PE=1 SV=2;sp|P12694-2|ODBA_HUMAN Isoform 2 of 2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=BCKDHA					8650600.0	
P12814;P12814-2;P12814-3;P12814-4;P35609-2;P35609;Q08043	P12814;P12814-2;P12814-3;P12814-4	ACTN1	Alpha-actinin-1	sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2;sp|P12814-2|ACTN1_HUMAN Isoform 2 of Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1;sp|P12814-3|ACTN1_HUMAN Isoform 3 of Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1;sp|				210180000.0	136730000.0	214320000.0
P12955-3;P12955-2;P12955	P12955-3;P12955-2;P12955	PEPD	Xaa-Pro dipeptidase	sp|P12955-3|PEPD_HUMAN Isoform 3 of Xaa-Pro dipeptidase OS=Homo sapiens OX=9606 GN=PEPD;sp|P12955-2|PEPD_HUMAN Isoform 2 of Xaa-Pro dipeptidase OS=Homo sapiens OX=9606 GN=PEPD;sp|P12955|PEPD_HUMAN Xaa-Pro dipeptidase OS=Homo sapiens OX=9606 GN=PEPD PE=1 SV						16775000.0
P12956;P12956-2	P12956;P12956-2	XRCC6	X-ray repair cross-complementing protein 6	sp|P12956|XRCC6_HUMAN X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2;sp|P12956-2|XRCC6_HUMAN Isoform 2 of X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6				902760000.0	860440000.0	846990000.0
P13010	P13010	XRCC5	X-ray repair cross-complementing protein 5	sp|P13010|XRCC5_HUMAN X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3				731090000.0	661890000.0	582670000.0
P13073	P13073	COX4I1	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	sp|P13073|COX41_HUMAN Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens OX=9606 GN=COX4I1 PE=1 SV=1				274390000.0	227410000.0	264080000.0
P13164;Q01629;Q01628	P13164;Q01629;Q01628	IFITM1;IFITM2;IFITM3	Interferon-induced transmembrane protein 1;Interferon-induced transmembrane protein 2;Interferon-induced transmembrane protein 3	sp|P13164|IFM1_HUMAN Interferon-induced transmembrane protein 1 OS=Homo sapiens OX=9606 GN=IFITM1 PE=1 SV=3;sp|Q01629|IFM2_HUMAN Interferon-induced transmembrane protein 2 OS=Homo sapiens OX=9606 GN=IFITM2 PE=1 SV=2;sp|Q01628|IFM3_HUMAN Interferon-induced 						
P13284	P13284	IFI30	Gamma-interferon-inducible lysosomal thiol reductase	sp|P13284|GILT_HUMAN Gamma-interferon-inducible lysosomal thiol reductase OS=Homo sapiens OX=9606 GN=IFI30 PE=1 SV=3						
P13473;P13473-2;P13473-3	P13473;P13473-2;P13473-3	LAMP2	Lysosome-associated membrane glycoprotein 2	sp|P13473|LAMP2_HUMAN Lysosome-associated membrane glycoprotein 2 OS=Homo sapiens OX=9606 GN=LAMP2 PE=1 SV=2;sp|P13473-2|LAMP2_HUMAN Isoform LAMP-2B of Lysosome-associated membrane glycoprotein 2 OS=Homo sapiens OX=9606 GN=LAMP2;sp|P13473-3|LAMP2_HUMAN Iso						
P13489	P13489	RNH1	Ribonuclease inhibitor	sp|P13489|RINI_HUMAN Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2				81426000.0	87050000.0	106810000.0
P13639	P13639	EEF2	Elongation factor 2	sp|P13639|EF2_HUMAN Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4				7230100000.0	6699700000.0	7294000000.0
P13667	P13667	PDIA4	Protein disulfide-isomerase A4	sp|P13667|PDIA4_HUMAN Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2				478220000.0	435200000.0	523510000.0
